generated_at,attestation_chain,status,method,row_type,rule_id,gate,gate_status,iso3,country,readiness_lane,coordinate_rows_used,unique_coordinate_points,openaq_coordinate_rows_used,official_pm25_coordinate_rows_used,corrected_tile_count,corrected_tile_ids,population_tile_files_in_custody,population_tile_custody_complete,pm25_coarse_files_in_custody,validated_same_station_join_rows,complete_monitor_grade_rows,evidence_rows,frozen_for_next_compute,claim_allowed,next_blocker,decision,blocking_gap,source_artifacts,reader_use,non_claim
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,coordinate_universe_rule,Coordinate input universe,prefrozen,,,,,,,,,,,,,,,277,True,False,radius_join_grade_rules_not_closed,Future dry runs may use only committed OpenAQ coordinate rows accepted by the station-metadata gate and official PM2.5 coordinate rows accepted by the regulator extraction gate.,This input universe is not a validated regulatory-monitor inventory.,generated/air-monitoring-station-radius-denominator-readiness.csv||generated/air-monitoring-station-radius-ghsl-tile-routing-correction-country.csv,Locks the coordinate frame so later maps cannot silently add rows.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,population_denominator_custody_rule,GHSL population file custody,available,,,,,,,,,,,,,,,21,True,False,radius_join_grade_rules_not_closed,"Use the corrected GHSL R2023A 2020 4326 3ss tile set already downloaded, hashed, and bounds-checked; do not substitute older or unverified population files.","File custody is closed, but no population has been intersected with station buffers.",generated/air-monitoring-station-radius-ghsl-corrected-population-tile-custody-summary.json||generated/air-monitoring-station-radius-ghsl-large-population-tile-custody-summary.json,Confirms the population files are available for a later dry run.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,pm25_denominator_custody_rule,ACAG coarse PM2.5 file custody,available_for_pilot,,,,,,,,,,,,,,,2,False,False,pm25_resolution_and_join_rule_not_closed,Keep the two checked ACAG V6.GL.03 2023 coarse files as a pilot exposure denominator only; final exposure claims need an explicit resolution decision and join method.,"The current PM2.5 custody is coarse pilot custody, not a final exposure surface.",generated/air-monitoring-station-radius-acag-coarse-checksums-summary.json,Allows metadata-aware PM2.5 dry-run planning without implying exposure results.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,radius_reporting_rule,Radius reporting rule,not_frozen,,,,,,,,,,,,,,,0,False,False,primary_radius_and_sensitivity_bands_need_source_decision,The 50 km value used so far is only the maximum tile-selection envelope. A primary reporting radius and sensitivity bands must be sourced and frozen before any population count is shown.,The current package cannot turn coordinate custody into catchment population.,generated/air-monitoring-station-radius-ghsl-tile-routing-correction-country.csv,Stops a visually tempting but under-specified coverage map from becoming the headline.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,deduplication_rule,Catchment de-duplication rule,prefrozen,,,,,,,,,,,,,,,275,True,False,radius_join_grade_rules_not_closed,Future catchment population must union overlapping buffers by economy before summing population; exact duplicate coordinate points must not duplicate people.,"The rule is ready for a dry run, but no geometry operation has been executed here.",generated/air-monitoring-station-radius-ghsl-tile-routing-correction-country.csv,Prevents station count from being confused with people covered by at least one station.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,openaq_official_join_rule,Official/OpenAQ station-identity join rule,blocked,,,,,,,,,,,,,,,0,False,False,validated_same_station_joins_missing,"Do not merge OpenAQ and official station rows by proximity or name alone. Candidate rows stay source-family separated unless a public station ID, source-owner crosswalk, or other explicit validation is added.",The reconciliation audit still has zero validated same-station joins.,generated/air-monitoring-official-openaq-reconciliation-summary.json,Keeps candidate crosswalk evidence from inflating station coverage.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,monitor_grade_rule,Monitor-grade use rule,blocked,,,,,,,,,,,,,,,0,False,False,complete_monitor_grade_rows_missing,"Do not label rows as regulatory-grade monitor coverage until exact station method, current status, and grade/calibration evidence are closed.",The station-grade decision ledger still has zero complete monitor-grade rows.,generated/air-monitoring-station-grade-decision-ledger-summary.json,Keeps proximity-to-public-PM2.5 rows separate from regulatory-monitor claims.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,method_rule,publication_headline_rule,Public headline rule,blocked,,,,,,,,,,,,,,,0,False,False,catchment_population_and_exposure_rows_not_computed,"No public headline may state population covered, exposed, or monitored until radius, de-duplication, join, grade, and sensitivity gates are computed from committed artifacts.","This gate remains a method ledger, not a reader-facing result.",generated/air-monitoring-station-radius-denominator-readiness.csv||generated/air-monitoring-official-openaq-reconciliation-summary.json||generated/air-monitoring-station-grade-decision-ledger-summary.json,Protects the showcase from turning pre-computation evidence into a claim.,"This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,country_prefreeze,country_afg,Country coordinate-to-GHSL prefreeze row,population_custody_available,AFG,Afghanistan,blocked_denominator_missing_after_coordinates,2,2,2,0,1,R6_C25,1,True,,0,0,2,True,False,radius_join_grade_rules_not_closed,Use the corrected GHSL tile custody set as the country population file envelope for a future dry run; do not report coverage from it yet.,"Radius reporting, official/OpenAQ identity joins, and monitor-grade assumptions still block a public station-radius coverage claim.",generated/air-monitoring-station-radius-ghsl-tile-routing-correction-country.csv||generated/air-monitoring-station-radius-ghsl-corrected-population-tile-custody.csv||generated/air-monitoring-station-radius-ghsl-large-population-tile-custody.csv,"Country row for later catchment dry-run planning, not a map or result.","This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,country_prefreeze,country_aze,Country coordinate-to-GHSL prefreeze row,population_custody_available,AZE,Azerbaijan,blocked_denominator_missing_after_coordinates,2,2,2,0,2,R5_C23||R5_C24,2,True,,0,0,2,True,False,radius_join_grade_rules_not_closed,Use the corrected GHSL tile custody set as the country population file envelope for a future dry run; do not report coverage from it yet.,"Radius reporting, official/OpenAQ identity joins, and monitor-grade assumptions still block a public station-radius coverage claim.",generated/air-monitoring-station-radius-ghsl-tile-routing-correction-country.csv||generated/air-monitoring-station-radius-ghsl-corrected-population-tile-custody.csv||generated/air-monitoring-station-radius-ghsl-large-population-tile-custody.csv,"Country row for later catchment dry-run planning, not a map or result.","This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
2026-06-20T13:50:14Z,ai-first,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,country_prefreeze,country_bgd,Country coordinate-to-GHSL prefreeze row,population_custody_available,BGD,Bangladesh,blocked_denominator_missing_after_coordinates,53,52,22,31,2,R7_C27||R7_C28,2,True,,0,0,53,True,False,radius_join_grade_rules_not_closed,Use the corrected GHSL tile custody set as the country population file envelope for a future dry run; do not report coverage from it yet.,"Radius reporting, official/OpenAQ identity joins, and monitor-grade assumptions still block a public station-radius coverage claim.",generated/air-monitoring-station-radius-ghsl-tile-routing-correction-country.csv||generated/air-monitoring-station-radius-ghsl-corrected-population-tile-custody.csv||generated/air-monitoring-station-radius-ghsl-large-population-tile-custody.csv,"Country row for later catchment dry-run planning, not a map or result.","This method prefreeze ledger records which station-radius inputs and rules are ready for a future dry run and which gates still block a reader-facing coverage claim. It does not compute station-radius population, PM2.5 exposure, monitor coverage, same-station joins, or complete monitor-grade classification."
