layer_role,indicator_id,indicator_name,category,source_url,public_metadata_reachable,adb_rows_with_latest_value,rankable_rows_with_latest_value,baseline_top5_rows_with_latest_value,latest_year_min,latest_year_max,status,notes
old_trade_volume_proxy,NE.IMP.GNFS.CD,Imports of goods and services (current US$),old_proxy,https://api.worldbank.org/v2/indicator/NE.IMP.GNFS.CD?format=json,True,38,26,5,2004,2024,metadata and values visible,"Imports of goods includes change in the economic ownership of goods from non-residents to


residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars."
old_lpi_overall_perception_score,LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),old_proxy,https://api.worldbank.org/v2/indicator/LP.LPI.OVRL.XQ?format=json,True,32,26,5,2007,2022,metadata and values visible,"The Logistics Performance Index overall score reflects perceptions of a country's logistics based on the efficiency of customs clearance process, quality of trade- and transport-related infrastructure, ease of arranging competitively priced shipments, quality of logistics services, ability to track and trace consignments, and frequency with which shipments reach the consignee within the scheduled time. The index ranges from 1 to 5, with a higher score representing better performance. 

Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. 

Scores for the six areas are averaged across all respondents and aggregated to a single score using principal components analysis. 

Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report."
lpi_infrastructure_perception_score,LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),lpi_component,https://api.worldbank.org/v2/indicator/LP.LPI.INFR.XQ?format=json,True,32,26,5,2007,2022,metadata and values visible,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents evaluated the quality of trade and transport related infrastructure (e.g. ports, railroads, roads, information technology), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents."
lpi_timeliness_perception_score,LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),lpi_component,https://api.worldbank.org/v2/indicator/LP.LPI.TIME.XQ?format=json,True,32,26,5,2007,2022,metadata and values visible,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents assessed how often the shipments to assessed markets reach the consignee within the scheduled or expected delivery time, on a rating ranging from 1 (hardly ever) to 5 (nearly always). Scores are averaged across all respondents."
lpi_shipment_price_perception_score,LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),lpi_component,https://api.worldbank.org/v2/indicator/LP.LPI.ITRN.XQ?format=json,True,32,26,5,2007,2022,metadata and values visible,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents assessed the ease of arranging competitively priced shipments to markets, on a rating ranging from 1 (very difficult) to 5 (very easy). Scores are averaged across all respondents."
lpi_tracking_perception_score,LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),lpi_component,https://api.worldbank.org/v2/indicator/LP.LPI.TRAC.XQ?format=json,True,32,26,5,2007,2022,metadata and values visible,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents evaluated the ability to track and trace consignments when shipping to the market, on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents."
lpi_customs_perception_score,LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),lpi_component,https://api.worldbank.org/v2/indicator/LP.LPI.CUST.XQ?format=json,True,32,26,5,2007,2022,metadata and values visible,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents evaluated efficiency of customs clearance processes (i.e. speed, simplicity and predictability of formalities), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents."
container_port_traffic_teu,IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),actual_freight_proxy,https://api.worldbank.org/v2/indicator/IS.SHP.GOOD.TU?format=json,True,29,16,5,2019,2022,metadata and values visible,"Port container traffic measures the flow of containers from land to sea transport modes, and vice versa, in twenty-foot equivalent units (TEUs), a standard-size container. Data refer to coastal shipping as well as international journeys. Transshipment traffic is counted as two lifts at the intermediate port (once to off-load and again as an outbound lift) and includes empty units."
rail_goods_million_ton_km,IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)",actual_freight_proxy,https://api.worldbank.org/v2/indicator/IS.RRS.GOOD.MT.K6?format=json,True,22,20,5,1995,2021,metadata and values visible,"Goods transported by railway are the volume of goods transported by railway, measured in metric tons times kilometers traveled."
road_goods_million_ton_km,IS.ROD.GOOD.MT.K6,"Roads, goods transported (million ton-km)",actual_freight_proxy,https://api.worldbank.org/v2/indicator/IS.ROD.GOOD.MT.K6?format=json,True,0,0,0,,,metadata only or no DMC values,"Goods transported by road are the volume of goods transported by road vehicles, measured in millions of metric tons times kilometers traveled."
