ledger_id,title,group,status,method,attestation_chain,generated_at,checked_rows,source_inputs_count,zero_claim_field_count,zero_claim_fields,substantive_finding,reader_use,artifact_path,summary_path,csv_path
station-radius-coverage-claim-gate,Station-radius coverage-claim gate,coverage-claim,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,ai-first,2026-06-25T15:22:11Z,11,16,12,bmkg_calibration_status_rows|bmkg_station_specific_calibration_certificate_rows|bmkg_station_specific_inspection_log_rows|calibration_status_available_rows|claim_allowed_country_rows|complete_monitor_grade_rows|coverage_claim_allowed|current_status_confirmed_rows|georgia_verified_report_closure_rows|station_radius_ready_economies|station_radius_ready_rows|validated_same_station_join_rows,"Station-radius denominators exist as geometry, but the gate records 0 validated same-station joins, 0 complete monitor-grade rows, 0 ready economies, and 0 allowed coverage-claim rows.",Supports the documented public-evidence absence finding.,station-radius-coverage-claim-gate.md,generated/air-monitoring-station-radius-coverage-claim-gate-summary.json,generated/air-monitoring-station-radius-coverage-claim-gate.csv
bmkg-api-parity-status,BMKG Api Parity Status,BMKG deep dive,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,ai-first,2026-06-19T23:47:31Z,132,0,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Api Parity Status records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-api-parity-status-summary.json,
bmkg-installation-audit-source-scan,BMKG Installation Audit Source Scan,BMKG deep dive,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,ai-first,2026-06-20T04:00:18Z,22,2,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Installation Audit Source Scan records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-installation-audit-source-scan-summary.json,generated\air-monitoring-bmkg-installation-audit-source-scan.csv
bmkg-operation-maintenance-source-scan,BMKG Operation Maintenance Source Scan,BMKG deep dive,computed_bmkg_operation_maintenance_source_scan,air_monitoring_bmkg_operation_maintenance_source_scan_v1,ai-first,2026-06-19T15:40:17Z,22,2,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Operation Maintenance Source Scan records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-operation-maintenance-source-scan-summary.json,generated\air-monitoring-bmkg-operation-maintenance-source-scan.csv
bmkg-ppid-access-route-scan,BMKG PPID/PTSP access-route scan,BMKG deep dive,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,ai-first,2026-06-20T07:43:18Z,22,2,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_from_this_scan_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG PPID Access Route Scan records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,bmkg-ppid-access-route-scan.md,generated/air-monitoring-bmkg-ppid-access-route-scan-summary.json,generated/air-monitoring-bmkg-ppid-access-route-scan.csv
bmkg-station-public-context-source-scan,BMKG Station Public Context Source Scan,BMKG deep dive,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,ai-first,2026-06-20T06:03:55Z,22,2,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Station Public Context Source Scan records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-station-public-context-source-scan-summary.json,generated\air-monitoring-bmkg-station-public-context-source-scan.csv
bmkg-station-specific-status-audit,BMKG Station Specific Status Audit,BMKG deep dive,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,ai-first,2026-06-19T22:22:29Z,22,1,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Station Specific Status Audit records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-station-specific-status-audit-summary.json,generated\air-monitoring-bmkg-station-specific-status-audit.csv
georgia-report-frequency-matrix,Georgia Report Frequency Matrix,Georgia deep dive,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,ai-first,2026-06-20T00:33:56Z,24,1,6,complete_monitor_grade_classification_routes|current_status_confirmed_routes|station_method_classified_routes|station_radius_grade_assumption_ready_routes|verified_report_closure_available_routes|xlsx_verification_label_routes,"Georgia report routes return daily/monthly payloads and exports, but 0 routes carry an unqualified verification label, verified-report closure, current-status confirmation, or station-method closure.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-georgia-report-frequency-matrix-summary.json,
bmkg-certificate-status-targeted-source-scan,BMKG targeted certificate/status source scan,monitor grade and QA,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,ai-first,2026-06-20T05:38:30Z,22,2,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_from_this_scan_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Certificate Status Targeted Source Scan records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,bmkg-certificate-status-targeted-source-scan.md,generated/air-monitoring-bmkg-certificate-status-targeted-source-scan-summary.json,generated/air-monitoring-bmkg-certificate-status-targeted-source-scan.csv
bmkg-grade-basis-source-scan,BMKG Grade Basis Source Scan,monitor grade and QA,computed_bmkg_grade_basis_source_scan,air_monitoring_bmkg_grade_basis_source_scan_v1,ai-first,2026-06-20T03:01:33Z,22,2,6,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Grade Basis Source Scan records checked evidence, but 6 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-grade-basis-source-scan-summary.json,generated\air-monitoring-bmkg-grade-basis-source-scan.csv
