ledger_id,group,title,status,goal_level,method,attestation_chain,generated_at,checked_rows,source_inputs_count,substantive_finding,reader_use,artifact_path,summary_path,csv_path,non_claim
exposure-ranked-disagreement,source disagreement,Exposure-ranked registry-map disagreement,summary,,"OSM amenity=hospital/clinic/doctors features are assigned by node or way/relation center to geoBoundaries ADM3 polygons. Upazila OSM counts are joined to DGHS active clinical facility counts and Google Open Buildings nearest-facility p85 denominators. The exposure proxy equals 3 km p85 buildings multiplied by max(active clinical registry facilities minus OSM health features, 0) divided by active clinical registry facilities.",ai-first,2026-04-29T09:19:01Z,572,0,"Bangladesh has 572 DGHS registry upazila rows, 28,166 active clinical facilities, and 3,212 joined OSM health features; the registry-minus-OSM clinical gap is 25,262.",Shows why the Bangladesh source-disagreement queue exists before any access-map claim.,source-disagreement-l3-module.md,generated/psdq-bgd-exposure-ranked-disagreement-summary.json,generated/psdq-bgd-exposure-ranked-disagreement.csv,"The exposure proxy is a screening index. It is not population, households, poverty, service demand, a verified facility catchment, a travel-time estimate, or proof that either OSM or the official registry is the ground-truth facility list."
source-disagreement-strata,source disagreement,Formal L3 source-disagreement strata,formal_l3_evidence_module,L3 source-disagreement module,,ai-first,2026-06-18T17:36:27Z,572,3,"The L3 strata keep 115 of 572 upazila rows with active registry facilities and zero joined OSM health features, while 21 rows have OSM equal to or above the registry count.",Separates registry-map disagreement into validation strata and claim boundaries.,source-disagreement-l3-module.md,generated/psdq-bgd-source-disagreement-strata.json,generated/psdq-bgd-source-disagreement-strata.csv,"This is an AI-first evidence ledger for the PSDQ Bangladesh source-disagreement showcase. It summarizes committed public-data artifacts so a reader can follow the evidence chain. It is not human validation, not source-owner outreach, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
facility-validation-sample,facility validation,Facility-validation sample design,sample_design_not_validation_result,L3 validation-sample design,,ai-first,2026-06-18T17:55:30Z,76,3,The validation design selects 20 upazilas and 76 DGHS facility rows; 69 rows are coordinate-ready before any validation claim.,Defines the row sample without treating sample selection as validation.,facility-validation-sample.md,generated/psdq-bgd-facility-validation-sample.json,generated/psdq-bgd-facility-validation-sample-facilities.csv,"This artifact is a validation-sample design. It does not report match rates, does not decide whether DGHS or OSM is ground truth, and does not validate facility existence, quality, access, service demand, or travel time."
coded-screen,facility validation,Automated public-source coded screen,automated_public_source_screen_not_manual_validation,L3 validation coding screen,,ai-first,2026-06-18T18:09:18Z,76,4,"The automated screen codes 76 facility rows, recommends manual review for 71, finds 13 rows with any OSM candidate within 500 m, and flags 23 coordinate-issue rows.",Turns sampled facility rows into a public-source review queue.,facility-validation-coded-screen.md,generated/psdq-bgd-facility-validation-coded-summary.json,generated/psdq-bgd-facility-validation-coded-screen.csv,"This is an automated public-source coding screen. It is not a human validation pass, not a facility-quality assessment, not a service-access estimate, and not a ground-truth facility inventory."
ai-public-source-review,facility validation,AI public-source review ledger,ai_public_source_row_review_not_human_validation,L3 AI public-source review ledger,,ai-first,2026-06-18T18:19:55Z,71,3,"The AI public-source review reads 71 flagged rows, sends 8 to candidate resolution, records 40 rows with no 500 m OSM health candidate, and keeps 23 coordinate-source rows open.",Names the workstreams produced by the coded screen.,facility-validation-ai-review.md,generated/psdq-bgd-facility-validation-ai-review-summary.json,generated/psdq-bgd-facility-validation-ai-review.csv,"This is an AI-first public-source row-review ledger over the automated coded screen. It is not a human validation pass, not ground truth, not a facility-quality assessment, and not a service-access estimate."
candidate-resolution,candidate review,Candidate-resolution pass,ai_public_source_candidate_resolution_not_human_validation,L3 candidate-resolution pass,,ai-first,2026-06-18T18:33:06Z,8,3,"The candidate-resolution pass reviews 8 rows, closes 0, and retains 8 open for stronger public or human evidence.",Checks whether nearby public-map candidates can close rows without human validation.,facility-validation-candidate-resolution.md,generated/psdq-bgd-facility-validation-candidate-resolution-summary.json,generated/psdq-bgd-facility-validation-candidate-resolution.csv,"This is an AI-first public-source candidate-resolution pass over the eight rows already queued by the AI review ledger. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
candidate-public-source-check,candidate review,Candidate public-source tag check,ai_public_source_candidate_check_not_human_validation,L3 public-source confirmation scan,,ai-first,2026-06-18T18:48:47Z,8,4,"The candidate public-source check reviews 8 rows; 5 have specific OSM name-tag support, but 0 are closed as confirmed same-facility rows.",Adds tag evidence while keeping rows open unless evidence is strong enough.,facility-validation-candidate-public-source-check.md,generated/psdq-bgd-facility-validation-candidate-public-source-check-summary.json,generated/psdq-bgd-facility-validation-candidate-public-source-check.csv,"This is an AI-first public-source evidence scan over the eight candidate-resolution rows. It uses cached public DGHS and OSM/Overpass artifacts only. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
coordinate-repair,source repair,Coordinate-repair triage,ai_public_source_coordinate_repair_triage_not_human_validation,L3 coordinate-source repair triage,,ai-first,2026-06-18T19:01:33Z,23,5,"The coordinate-repair triage checks 23 rows, finds 16 valid coordinates outside the expected upazila, and closes 0 as repaired.",Shows why public registry coordinates need source-owner or human confirmation.,facility-validation-coordinate-repair.md,generated/psdq-bgd-facility-validation-coordinate-repair-summary.json,generated/psdq-bgd-facility-validation-coordinate-repair.csv,"This is an AI-first public-source coordinate-repair triage over sampled DGHS rows. It compares registry coordinates with public geoBoundaries ADM3 polygons and cached OSM health features. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
public-map-gap,public-map gap,Public-map-gap triage,ai_public_source_public_map_gap_triage_not_human_validation,L3 public-map-gap triage,,ai-first,2026-06-18T19:28:32Z,40,7,"The public-map-gap triage checks 40 rows, including 30 high-exposure rows; 32 have the nearest OSM health feature beyond 3 km, and 0 are closed.",Separates map-absence context from row-level closure evidence.,facility-validation-public-map-gap.md,generated/psdq-bgd-facility-validation-public-map-gap-summary.json,generated/psdq-bgd-facility-validation-public-map-gap.csv,"This is an AI-first public-source triage over sampled DGHS rows already marked as public-map gaps at valid registry coordinates. It uses cached public DGHS, geoBoundaries, and OSM/Overpass artifacts only. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
row-evidence-ledger,public-map gap,Row-level public-source evidence ledger,ai_public_source_public_map_gap_row_evidence_not_human_validation,L3 row-level public-source evidence,,ai-first,2026-06-18T19:45:25Z,40,2,"The row-evidence ledger attaches public profile and map links to 40 rows, keeps 40 open, and closes 0.",Converts row-level inspection evidence into links and status notes.,facility-validation-public-map-gap-evidence.md,generated/psdq-bgd-facility-validation-public-map-gap-evidence-summary.json,generated/psdq-bgd-facility-validation-public-map-gap-evidence.csv,"This is an AI-first row-level public-source evidence ledger for sampled DGHS public-map-gap rows. It uses committed DGHS public registry cache metadata, public profile URLs, and the pinned OSM/Overpass health-feature cache. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
