layer_role,source_name,source_url,key_id,public_metadata_reachable,candidate_rows,joined_rows,status,notes
old_primary_pupil_teacher_ratio_proxy,"Pupil-teacher ratio, primary",https://api.worldbank.org/v2/indicator/SE.PRM.ENRL.TC.ZS?format=json,SE.PRM.ENRL.TC.ZS,True,43,40,metadata and latest values visible,Category old_proxy; ADB latest-year span 2000-2019. Primary school pupil-teacher ratio is the average number of pupils per teacher in primary school.
old_child_population_share_proxy,Population ages 0-14 (% of total population),https://api.worldbank.org/v2/indicator/SP.POP.0014.TO.ZS?format=json,SP.POP.0014.TO.ZS,True,43,41,metadata and latest values visible,Category old_proxy; ADB latest-year span 2024-2024. Population between the ages 0 to 14 as a percentage of the total population. Population is based on the de facto definition of population.
old_population_denominator,"Population, total",https://api.worldbank.org/v2/indicator/SP.POP.TOTL?format=json,SP.POP.TOTL,True,43,41,metadata and latest values visible,"Category old_proxy; ADB latest-year span 2024-2024. Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates."
primary_duration_context_not_calendar,"Primary education, duration (years)",https://api.worldbank.org/v2/indicator/SE.PRM.DURS?format=json,SE.PRM.DURS,True,43,41,metadata and latest values visible,Category school_system_context; ADB latest-year span 2025-2025. Primary duration refers to the number of grades (years) in primary school.
primary_gross_enrollment_context,"School enrollment, primary (% gross)",https://api.worldbank.org/v2/indicator/SE.PRM.ENRR?format=json,SE.PRM.ENRR,True,43,41,metadata and latest values visible,"Category enrollment_context; ADB latest-year span 2018-2025. Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music."
cckp_country_tasmax_source,World Bank CCKP annual tasmax 1995-2014 historical for KHM,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/KHM,KHM,True,1,1,country tasmax row visible,Parsed period key 1995-07; value is source-readiness context only.
cckp_country_tasmax_source,World Bank CCKP annual tasmax 1995-2014 historical for PAK,https://cckpapi.worldbank.org/cckp/v1/cmip6-x0.25_climatology_tasmax_climatology_annual_1995-2014_median_historical_ensemble_all_mean/PAK,PAK,True,1,1,country tasmax row visible,Parsed period key 1995-07; value is source-readiness context only.
osm_school_location_source_visibility,OpenStreetMap amenity=school Overpass count for KHM,https://overpass-api.de/api/interpreter,KHM,True,1,1,school amenity count visible,Count 2451; OSM timestamp 2026-06-19T22:04:28Z. This is not an enrollment or heat overlay.
osm_school_location_source_visibility,OpenStreetMap amenity=school Overpass count for PAK,https://overpass-api.de/api/interpreter,PAK,True,1,1,school amenity count visible,Count 5043; OSM timestamp 2026-06-19T22:04:28Z. This is not an enrollment or heat overlay.
observed_school_disruption_source_pointer,UNICEF global snapshot of climate-related school disruptions in 2024,https://www.unicefusa.org/sites/default/files/2025-01/UNICEF-Global-snapshot-climate-related-school-disruptions-2024.pdf,unicef_school_disruptions_2024_pdf,True,1,0,source visible; country closure rows not parsed,"PDF byte-token counts: {'school': 16, 'climate': 15, 'heat': 0, 'closure': 0, 'disruption': 0}. No country-year closure table is extracted or joined."
analysis_ready_school_calendar_join,National school-term calendar joined to daily heat,,not_computed,False,0,0,not joined,"No public national term-date table is parsed, normalized by country, or joined to heat days."
analysis_ready_school_day_heat_join,Daily school-day heat or WBGT series,,not_computed,False,0,0,not joined,"No ERA5, CCKP daily, WBGT, or in-session heat series is computed for school days."
analysis_ready_school_location_join,School geocodes intersected with local heat and population,,not_computed,False,0,0,not joined,OSM count visibility is not a school-location heat overlay; no school points are downloaded or intersected.
analysis_ready_closure_outcome_join,"Closure, attendance, or learning outcome joined",,not_computed,False,0,0,not joined,The UNICEF source pointer is not parsed into a country-date closure or learning-outcome panel.
